article_id,current_price,unit_cost,expected_volume_12mo,n_customers,p_star,delta_pct,score_eur,score_eur_calibrated,breakeven_price,mc_ci_low,mc_ci_high,mc_p_positive,driver_win_prob,driver_cost,driver_churn,constraint_active,wp_locked,wp_n_train
200275,283.09090909090907,134.09454545454545,11.0,2,283.09090909090907,0.0,1508.910898197136,1779.68935406592,240.6272727272727,1057.9654450813598,2037.4807833286272,1.0,0.0,1357.9977127426562,-130.0491018028638,,False,22
200364,345.05,141.350625,16.0,5,345.05,0.0,1855.1749152891039,2188.091457630132,293.2925,1218.93654660713,2561.5732781670854,1.0,0.0,1287.3389216851397,-1404.0150847108962,,False,21
200372,480.2943396226415,137.50981132075472,76.85931612327798,13,480.2943396226415,0.0,15801.253600384895,18636.834585196822,408.25018867924524,11237.979510599642,20869.402543491848,1.0,0.0,6338.755754188343,-10544.930822538554,,False,61
200372-A,442.55384615384617,134.9310650887574,141.84305868926185,13,442.55384615384617,0.0,35169.706977602706,41481.01333779355,376.1707692307692,26279.768209458605,45210.89002836261,1.0,0.0,15426.315323322407,-8464.449211166626,,False,49
200420,308.6666666666667,142.29708333333335,24.0,2,308.66666666666663,-1.841579444734601e-14,2622.9090277238065,3093.597692813265,262.3666666666667,1752.750824471674,3606.054082065103,1.0,0.0,2243.3926744047276,-1369.9609722761934,,False,16
200802,571.2121212121212,174.70121212121214,70.29560381285233,4,571.2121212121212,0.0,20223.47145523409,23852.63231522761,485.53030303030306,13057.94076669906,28393.655923270304,1.0,0.0,8910.385302206392,-7649.502317694369,,False,34
200832,1411.3846153846155,431.973076923077,13.0,4,1411.3846153846155,0.0,206.76336804759012,243.8676567084047,1358.4576923076925,-3017.336920592172,3475.230329108058,0.5475,0.0,91.19374724826594,-12525.586631952412,,False,28
200870,987.0,367.17571428571426,7.0,2,987.0,0.0,1655.0962887766714,1952.1081387968243,838.9499999999999,589.3744974575338,2794.1290835344244,0.995,0.0,980.4571651187935,-2683.673711223329,,False,15
200941,1892.88,894.36,4.0,1,1892.88,0.0,944.6469960922893,1114.1666511286312,1608.948,-517.6356043298217,2180.108205540454,0.8725,0.0,846.1067253786607,-3049.4330039077113,,False,17
200957,630.0,212.51399999999998,5.0,2,630.0,0.0,-229.2626837269628,-270.40454012291934,,-670.1374041146498,210.22975039110653,0.1975,0.0,-116.70218874298018,-2316.692683726963,,False,17
200960,1435.0,524.3900000000001,6.860031175274932,2,1435.0,0.0,-1703.6564777612348,-2009.3825951418046,,-3157.868541411631,-140.9520085759872,0.0225,0.0,-981.0790792690768,-7950.469466278339,,False,18
200965,1166.0,518.69,82.97593799810794,1,1166.0,0.0,49593.178734354085,58492.819114284976,991.1,34003.78891264998,65844.00767287968,1.0,0.0,39739.052197126766,-4117.975691201158,,False,18
201036,617.0666666666667,499.93466666666666,35.57620526746357,1,709.6266666666667,14.999999999999991,5330.800730707024,6287.428449500561,524.5066666666667,2739.7838982795415,7956.345065806463,0.9975,0.0,11763.279053156124,-379.88596945418885,delta_max_up,False,16
201100-D,2109.47,1009.83,21.530815978593353,1,2109.47,0.0,1615.3549277952825,1905.2350748278554,1898.5229999999997,-7551.984090431247,8915.19560740207,0.6375,0.0,1483.425363514887,-22060.79155490511,,False,18
201138,201.82325581395347,94.70837209302326,135.8940376355161,5,201.82325581395344,-1.4082474943622931e-14,12472.16292937936,14710.328896234223,171.54976744186044,8857.36980421741,16353.778777412821,1.0,0.0,11027.582782967274,-2084.1111103166586,,False,21
201206,3373.6666666666665,985.3800000000001,25.854452540917887,4,3373.666666666666,-1.3479320745572497e-14,-6414.697018048733,-7565.833082801577,,-18447.408651519334,4358.525805653597,0.145,0.0,-2646.631259080379,-68162.54129548903,,False,54
201208,952.7,464.9,1.0,1,952.7,0.0,450.2339623324845,531.0297583239762,809.7950000000001,304.61586116714824,602.9927083866895,1.0,0.0,429.0975176063387,-37.56603766751556,,False,16
201230,686.4336842105263,284.86315789473684,19.0,5,686.4336842105263,0.0,93.51043856530396,110.29115914501423,669.2728421052631,-1169.9241315723696,1248.185968128037,0.495,0.0,66.33374981531051,-7536.329561434695,,False,22
201263,568.2982456140351,287.48982456140345,89.54462788889049,6,575.4019736842105,1.2499999999999944,-4203.519446497536,-4957.853255271115,,-11763.910025599056,1704.3319007726036,0.1225,0.0,-4562.240217811948,-29357.18650409976,,False,38
201265,1105.0,309.16833333333335,34.29473287875841,2,1105.0,0.0,3581.3241050065517,4224.003147405935,939.25,-3744.051588428632,12020.972250305977,0.785,0.0,1391.2892022869564,-23711.510319783887,,False,25
201389,984.1034375,195.77,47.572801450723816,9,984.1034374999999,-1.1552326045158849e-14,2895.464692282065,3415.0642652823585,836.487921875,-1556.259504207357,7948.157791662237,0.89,0.0,719.042344069112,-34607.76540687203,,False,48
201390,982.9428571428571,238.65785714285718,25.639914124048044,6,982.9428571428571,0.0,9572.583962353034,11290.4120376206,835.5014285714285,6543.969046888439,12760.282049571042,1.0,0.0,3069.4859842335354,-9510.819521464058,,False,33
